anio,mes,dia,fecha_date,fecha,cant_conversaciones,cant_intencion_compra,cant_adquisicion,cant_compra
2020,202008,2020-08-09,2020-08-09 21:00:00,2020080921,1.0,2.0,2.0,0.0
2020,202008,2020-08-09,2020-08-09 22:00:00,2020080922,1.0,0.0,0.0,0.0
2020,202008,2020-08-09,2020-08-09 23:00:00,2020080923,0.0,2.0,2.0,0.0
2020,202008,2020-08-10,2020-08-10 00:00:00,2020081000,0.0,3.0,3.0,0.0
2020,202008,2020-08-10,2020-08-10 02:00:00,2020081002,0.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 03:00:00,2020081003,0.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 04:00:00,2020081004,0.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 07:00:00,2020081007,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 08:00:00,2020081008,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 10:00:00,2020081010,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 11:00:00,2020081011,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 12:00:00,2020081012,2.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 13:00:00,2020081013,0.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 14:00:00,2020081014,0.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 15:00:00,2020081015,2.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 16:00:00,2020081016,2.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 18:00:00,2020081018,2.0,1.0,1.0,1.0
2020,202008,2020-08-10,2020-08-10 19:00:00,2020081019,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 20:00:00,2020081020,1.0,0.0,0.0,0.0
2020,202008,2020-08-10,2020-08-10 21:00:00,2020081021,3.0,1.0,1.0,0.0
2020,202008,2020-08-10,2020-08-10 22:00:00,2020081022,0.0,4.0,4.0,0.0
2020,202008,2020-08-11,2020-08-11 00:00:00,2020081100,0.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 01:00:00,2020081101,1.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 02:00:00,2020081102,0.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 03:00:00,2020081103,0.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 11:00:00,2020081111,1.0,0.0,0.0,0.0
2020,202008,2020-08-11,2020-08-11 12:00:00,2020081112,2.0,0.0,0.0,0.0
2020,202008,2020-08-11,2020-08-11 13:00:00,2020081113,1.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 14:00:00,2020081114,1.0,0.0,0.0,0.0
2020,202008,2020-08-11,2020-08-11 15:00:00,2020081115,1.0,0.0,0.0,0.0
2020,202008,2020-08-11,2020-08-11 17:00:00,2020081117,1.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 18:00:00,2020081118,0.0,1.0,1.0,0.0
2020,202008,2020-08-11,2020-08-11 21:00:00,2020081121,0.0,1.0,1.0,1.0
2020,202008,2020-08-12,2020-08-12 01:00:00,2020081201,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 07:00:00,2020081207,0.0,1.0,1.0,0.0
2020,202008,2020-08-12,2020-08-12 08:00:00,2020081208,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 09:00:00,2020081209,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 10:00:00,2020081210,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 11:00:00,2020081211,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 14:00:00,2020081214,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 15:00:00,2020081215,2.0,1.0,1.0,0.0
2020,202008,2020-08-12,2020-08-12 17:00:00,2020081217,0.0,1.0,1.0,0.0
2020,202008,2020-08-12,2020-08-12 18:00:00,2020081218,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 19:00:00,2020081219,1.0,0.0,0.0,0.0
2020,202008,2020-08-12,2020-08-12 20:00:00,2020081220,4.0,1.0,1.0,0.0
2020,202008,2020-08-12,2020-08-12 21:00:00,2020081221,3.0,1.0,1.0,0.0
2020,202008,2020-08-12,2020-08-12 22:00:00,2020081222,1.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 01:00:00,2020081301,0.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 02:00:00,2020081302,0.0,2.0,2.0,1.0
2020,202008,2020-08-13,2020-08-13 03:00:00,2020081303,0.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 04:00:00,2020081304,0.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 05:00:00,2020081305,1.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 08:00:00,2020081308,2.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 09:00:00,2020081309,3.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 10:00:00,2020081310,1.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 14:00:00,2020081314,1.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 15:00:00,2020081315,0.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 16:00:00,2020081316,1.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 21:00:00,2020081321,1.0,0.0,0.0,0.0
2020,202008,2020-08-13,2020-08-13 22:00:00,2020081322,0.0,1.0,1.0,0.0
2020,202008,2020-08-13,2020-08-13 23:00:00,2020081323,1.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 05:00:00,2020081405,0.0,1.0,1.0,0.0
2020,202008,2020-08-14,2020-08-14 07:00:00,2020081407,1.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 09:00:00,2020081409,2.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 10:00:00,2020081410,3.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 11:00:00,2020081411,5.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 12:00:00,2020081412,3.0,2.0,2.0,1.0
2020,202008,2020-08-14,2020-08-14 13:00:00,2020081413,5.0,0.0,0.0,0.0
2020,202008,2020-08-14,2020-08-14 14:00:00,2020081414,9.0,1.0,1.0,0.0
2020,202008,2020-08-14,2020-08-14 15:00:00,2020081415,10.0,4.0,4.0,0.0
2020,202008,2020-08-14,2020-08-14 16:00:00,2020081416,2.0,3.0,3.0,1.0
2020,202008,2020-08-14,2020-08-14 17:00:00,2020081417,5.0,2.0,1.0,1.0
2020,202008,2020-08-14,2020-08-14 18:00:00,2020081418,1.0,3.0,3.0,1.0
2020,202008,2020-08-14,2020-08-14 19:00:00,2020081419,1.0,2.0,2.0,0.0
2020,202008,2020-08-14,2020-08-14 20:00:00,2020081420,5.0,5.0,4.0,1.0
2020,202008,2020-08-14,2020-08-14 21:00:00,2020081421,4.0,3.0,0.0,2.0
2020,202008,2020-08-14,2020-08-14 22:00:00,2020081422,4.0,0.0,0.0,0.0
